Mission,Epic Name,Summary,IssueType,BudgetEURmln,ClimateField,ClimatePcnt,DigitalField,DigitalPcnt
Mission1,M1C1,"M1C1-I1.1-1 Digital infrastructure",Story,900,,,Digital_IntField_055,Digital_CoeffPcnt_100
Mission1,M1C1,"M1C1-I1.2-2 Cloud enablement for local PA",Story,1000,,,Digital_IntField_011,Digital_CoeffPcnt_100
Mission1,M1C1,"M1C1-I1.3-3 National Digital Data Platform",Story,556,,,Digital_IntField_011,Digital_CoeffPcnt_100
Mission1,M1C1,"M1C1-I1.3-4 Single Digital Gateway",Story,90,,,Digital_IntField_011,Digital_CoeffPcnt_100
Mission1,M1C1,"M1C1-I1.4-5 Citizen experience - Improvement of the quality and the usability of digital public services",Story,613,,,Digital_IntField_011,Digital_CoeffPcnt_100
Mission1,M1C1,"M1C1-I1.4-6 Citizen inclusion - Accessibility improvement of digital public services",Story,80,,,Digital_IntField_011,Digital_CoeffPcnt_100
Mission1,M1C1,"M1C1-I1.4-7 Adoption scale up of PagoPA platform services and the 'IO' app",Story,750,,,Digital_IntField_011,Digital_CoeffPcnt_100
Mission1,M1C1,"M1C1-I1.4-8 Adoption scale up of the National Digital Identity platforms (SPID, CIE) and the national registry (ANPR)",Story,285,,,Digital_IntField_011ter,Digital_CoeffPcnt_100
Mission1,M1C1,"M1C1-I1.4-9 Digitization of public notices",Story,245,,,Digital_IntField_011,Digital_CoeffPcnt_100
Mission1,M1C1,"M1C1-I1.4-10 Mobility as a Service for Italy",Story,40,,,Digital_IntField_011,Digital_CoeffPcnt_100
Mission1,M1C1,"M1C1-I1.5-11 Cybersecurity",Story,623,,,Digital_IntField_021quinquies,Digital_CoeffPcnt_100
Mission1,M1C1,"M1C1-I1.6-12 Digitization of the Ministry of the Interior",Story,107,,,Digital_IntField_011,Digital_CoeffPcnt_100
Mission1,M1C1,"M1C1-I1.6-13 Digitization of the Ministry of Justice",Story,133,,,Digital_IntField_011quater,Digital_CoeffPcnt_100
Mission1,M1C1,"M1C1-I1.6-14 Digitization of National Social Security Institute (INPS) and National Institute for Insurance against Accidents at work (INAIL)",Story,296,,,Digital_IntField_011,Digital_CoeffPcnt_100
Mission1,M1C1,"M1C1-I1.6-15 Digitization of the Ministry of Defense",Story,43,,,Digital_IntField_011,Digital_CoeffPcnt_100
Mission1,M1C1,"M1C1-I1.6-16 Digitization of the Council of State",Story,8,,,Digital_IntField_011,Digital_CoeffPcnt_100
Mission1,M1C1,"M1C1-I1.6-17 Digitization of the Finance Police",Story,25,,,Digital_IntField_011,Digital_CoeffPcnt_100
Mission1,M1C1,"M1C1-I1.7-18 Digital Civic Service",Story,60,,,Digital_IntField_108,Digital_CoeffPcnt_100
Mission1,M1C1,"M1C1-I1.7-19 Network of digital facilitation services",Story,135,,,Digital_IntField_108,Digital_CoeffPcnt_100
Mission1,M1C1,"M1C1-R1.2-21 Transformation support",Story,155,,,Digital_IntField_011,Digital_CoeffPcnt_100
Mission1,M1C1,"M1C1-I3.1-34 Organisational Innovation of Justice - Sub-measure - Hiring of human capital to strengthen the Judicial Office and overcome the disparities between the different judicial offices",Story,907,,,Digital_IntField_011quater,Digital_CoeffPcnt_100
Mission1,M1C2,"M1C2-I1-36 Tax credit for tangible 4.0 capital goods (Annex A)",Story,8868,,,Digital_IntField_010,Digital_CoeffPcnt_100
Mission1,M1C2,"M1C2-I1-37 Tax credit for intangible 4.0 capital goods (Annex B)",Story,1914,,,Digital_IntField_010,Digital_CoeffPcnt_100
Mission1,M1C2,"M1C2-I1-40 Tax credit for training activities",Story,300,,,Digital_IntField_108,Digital_CoeffPcnt_100
Mission1,M1C2,"M1C2-I2-41 Innovation and technology of microelectronics",Story,340,,,Digital_IntField_021quater,Digital_CoeffPcnt_100
Mission1,M1C2,"M1C2-I3-42 Plan Italia 1 Gbps",Story,3864,,,Digital_IntField_051,Digital_CoeffPcnt_100
Mission1,M1C2,"M1C2-I3-43 Italia 5G",Story,2020,,,Digital_IntField_051,Digital_CoeffPcnt_100
Mission1,M1C2,"M1C2-I3-44 Connected Schools",Story,261,,,Digital_IntField_051,Digital_CoeffPcnt_100
Mission1,M1C2,"M1C2-I3-45 Connected Helth care facilities",Story,502,,,Digital_IntField_051,Digital_CoeffPcnt_100
Mission1,M1C2,"M1C2-I3-46 Connected smaller islands",Story,61,,,Digital_IntField_051,Digital_CoeffPcnt_100
Mission1,M1C2,"M1C2-I4-47 SatCom Initiative",Story,385,,,Digital_IntField_055bis,Digital_CoeffPcnt_100
Mission1,M1C2,"M1C2-I4-48 Earth Observation",Story,417,,,Digital_IntField_055bis,Digital_CoeffPcnt_100
Mission1,M1C2,"M1C2-I4-49 Space Factory",Story,235,,,Digital_IntField_009bis,Digital_CoeffPcnt_100
Mission1,M1C2,"M1C2-I4-50 In-Orbit Economy",Story,450,,,Digital_IntField_009bis,Digital_CoeffPcnt_100
Mission1,M1C2,"M1C2-I5-51 Refinancing and remodelling of Fund 394/81 managed by SIMEST",Story,1200,,,Digital_IntField_015,Digital_CoeffPcnt_40
Mission1,M1C2,"M1C2-I5-52 Competitiveness and resilience of supply chains",Story,750,,,Digital_IntField_015,Digital_CoeffPcnt_40
Mission1,M1C3,"M1C3-I1.1-54 Digital Strategy and Platforms of Culture Heritage",Story,500,,,Digital_IntField_011,Digital_CoeffPcnt_100
Mission1,M1C3,"M1C3-I1.3-56 Improve energy efficiency in cinema, theatres and museums",Story,210,Climate_IntField_026,Climate_CoeffPcnt_40,,
Mission1,M1C3,"M1C3-I2.1-57a Attractiveness of Small Historic Towns_energy efficiency of public buildings",Story,560,Climate_IntField_026,Climate_CoeffPcnt_40,,
Mission1,M1C3,"M1C3-I2.1-57b Attractiveness of Small Historic Towns_energy efficiency of SME",Story,100,Climate_IntField_024,Climate_CoeffPcnt_40,,
Mission1,M1C3,"M1C3-I2.3-59 Programs to enhance the identity of places: parks and historic gardens",Story,300,Climate_IntField_050,Climate_CoeffPcnt_40,,
Mission1,M1C3,"M1C3-I3.2-62a Development of the film industry (Cinecittà project)_digital component",Story,61,,,Digital_IntField_011,Digital_CoeffPcnt_100
Mission1,M1C3,"M1C3-I3.2-62b Development of the film industry (Cinecittà project)_construction of energy efficient studios",Story,165,Climate_IntField_025ter,Climate_CoeffPcnt_40,,
Mission1,M1C3,"M1C3-I3.2-62c Development of the film industry (Cinecittà project)_energy efficiency renovations",Story,65,Climate_IntField_026,Climate_CoeffPcnt_40,,
Mission1,M1C3,"M1C3-I3.3-63 Capacity building for culture operators to manage the digital and green transition.",Story,155,,,Digital_IntField_021bis,Digital_CoeffPcnt_100
Mission1,M1C3,"M1C3-I4.1-64 Digital Tourism Hub",Story,114,,,Digital_IntField_011bis,Digital_CoeffPcnt_100
Mission1,M1C3,"M1C3-I4.2-65 Funds for the competitiveness of tourism enterprises - Improvement of the infrastructure of receptivity",Story,893,Climate_IntField_025,Climate_CoeffPcnt_40,,
Mission2,M2C1,"M2C1-I1.1-71 Implementation of new waste management plants and modernization of existing plants",Story,1500,Climate_IntField_042,Climate_CoeffPcnt_40,,
Mission2,M2C1,"M2C1-I1.2-72 Circular economy 'flagship' projects",Story,600,Climate_IntField_042,Climate_CoeffPcnt_40,,
Mission2,M2C1,"M2C1-I2.1-73a Logistics plan for the agri-food, fishing and aquaculture, forestry, floriculture and plant nursery sectors_innovative technologies in agro-industrial production",Story,324,Climate_IntField_047,Climate_CoeffPcnt_40,,
Mission2,M2C1,"M2C1-I2.1-73b Logistics plan for the agri-food, fishing and aquaculture, forestry, floriculture and plant nursery sectors_digital solutions for logistics",Story,216,,,Digital_IntField_010,Digital_CoeffPcnt_100
Mission2,M2C1,"M2C1-I2.1-73c Logistics plan for the agri-food, fishing and aquaculture, forestry, floriculture and plant nursery sectors_zero emission transport solutions",Story,180,Climate_IntField_079,Climate_CoeffPcnt_40,,
Mission2,M2C1,"M2C1-I2.1-73d Logistics plan for the agri-food, fishing and aquaculture, forestry, floriculture and plant nursery sectors_reduction of waste",Story,40,Climate_IntField_047,Climate_CoeffPcnt_40,,
Mission2,M2C1,"M2C1-I2.1-73e Logistics plan for the agri-food, fishing and aquaculture, forestry, floriculture and plant nursery sectors_renewable energy production",Story,40,Climate_IntField_029,Climate_CoeffPcnt_100,,
Mission2,M2C1,"M2C1-I2.2-74a Agri-solar Park_energy efficient renovations",Story,750,Climate_IntField_029,Climate_CoeffPcnt_100,,
Mission2,M2C1,"M2C1-I2.2-74b Agri-solar Park_energy efficient renovations_energy efficient cooling systems",Story,525,Climate_IntField_024,Climate_CoeffPcnt_40,,
Mission2,M2C1,"M2C1-I2.2-74c Agri-solar Park_solar panels",Story,225,Climate_IntField_024,Climate_CoeffPcnt_40,,
